차파, 165, 42
아마, 192, 56
다차, 192, 92
라카, 194, 76
라바, 144, 57
하다, 175, 69
카차, 194, 90
다타, 198, 74
타사, 167, 68
하타, 142, 84
하자, 146, 49
차가, 171, 70
파아, 149, 94
파나, 190, 58
하하, 191, 64
차자, 195, 90
나차, 181, 69
가카, 178, 56
아차, 158, 60
타가, 192, 55
가차, 144, 81
라파, 197, 94
카파, 192, 64
가가, 190, 78
카사, 157, 92
자카, 151, 77
아자, 141, 45
바바, 154, 49
라아, 152, 70
하사, 199, 41
마나, 155, 65
하자, 193, 70
타차, 166, 63
타다, 166, 77
사아, 178, 56
파다, 189, 52
라다, 187, 79
아바, 145, 72
가타, 154, 74
가마, 195, 68
차파, 160, 65
아마, 157, 64
가하, 187, 77
자마, 142, 54
가다, 141, 86
차가, 159, 78
마차, 167, 88
차라, 180, 62
자하, 165, 48
나카, 142, 75
자라, 155, 83
바다, 145, 59
아차, 158, 48
아차, 148, 62
타아, 161, 96
가아, 150, 88
아카, 191, 69
파가, 142, 64
타가, 155, 69
자카, 181, 64
타사, 145, 93
타나, 192, 50
다라, 154, 46
차타, 143, 88
나차, 170, 46
타다, 157, 86
자파, 148, 87
아바, 199, 78
자차, 144, 47
아타, 197, 52
바나, 147, 70
카타, 155, 41
하다, 161, 69
파마, 152, 70
자라, 162, 79
아아, 142, 88
아마, 180, 46
다차, 170, 92
파사, 146, 99
파파, 156, 83
하다, 156, 81
아파, 168, 53
파자, 190, 89
사사, 199, 53
라바, 166, 61
차나, 189, 84
나마, 144, 46
라라, 163, 67
하파, 174, 49
타자, 195, 73
라나, 193, 72
타다, 159, 81
아다, 140, 45
하차, 186, 51
자하, 187, 94
가마, 192, 53
카라, 199, 95
나아, 163, 75
카타, 172, 57
하파, 152, 70
타가, 183, 44
나나, 197, 70
라자, 193, 51
하하, 147, 93
파타, 151, 87
다마, 187, 53
다사, 169, 97
나카, 160, 95
아하, 169, 74
가차, 178, 53
마나, 184, 81
라마, 181, 47
아카, 188, 91
마다, 170, 83
카가, 164, 69
자타, 140, 76
가타, 188, 90
마바, 150, 74
나바, 142, 58
파다, 187, 96
타바, 159, 88
나카, 167, 66
바차, 160, 91
마카, 157, 75
아나, 175, 92
라타, 151, 86
가마, 148, 69
사마, 144, 70
자바, 163, 66
하아, 193, 61
마사, 170, 61
타라, 173, 57
타가, 169, 57
하자, 191, 78
라바, 187, 91
자카, 187, 87
타아, 188, 90
하라, 178, 57
가하, 170, 62
마라, 159, 84
바가, 171, 51
타사, 163, 65
바나, 155, 86
가아, 157, 54
가마, 191, 97
다카, 168, 86
가나, 189, 51
카카, 146, 61
마가, 171, 92
카라, 179, 73
바카, 165, 74
하하, 187, 52
타타, 149, 89
타하, 144, 55
아사, 160, 81
아파, 191, 56
카다, 142, 63
라자, 195, 43
자타, 173, 83
하아, 147, 72
아파, 153, 42
가가, 184, 52
하타, 150, 40
나라, 143, 90
라하, 141, 76
파아, 154, 46
하타, 147, 69
가라, 155, 77
사카, 191, 90
나하, 176, 86
사카, 196, 64
하자, 147, 71
마차, 177, 78
사다, 162, 98
바타, 170, 60
마하, 172, 53
하바, 199, 71
차타, 184, 75
파파, 162, 90
가카, 162, 95
바다, 152, 50
사사, 196, 72
바하, 151, 42
자바, 144, 92
나사, 164, 85
파차, 174, 76
파자, 198, 93
다아, 147, 85
타라, 184, 73
마마, 164, 81
하마, 182, 95
아사, 148, 61
라라, 187, 99
다다, 169, 96
파카, 160, 72
다카, 193, 44
하자, 179, 74
마하, 140, 49
라자, 163, 88
타가, 144, 74
카마, 155, 99
사아, 167, 68
라자, 143, 98
차타, 197, 63
사다, 180, 41
마라, 184, 92
차차, 163, 92
자자, 188, 66
사다, 186, 80
카다, 169, 84
타사, 150, 62
나하, 170, 81
자파, 173, 59
차파, 186, 41
파사, 181, 84
차가, 164, 57
다하, 152, 49
다마, 184, 66
사가, 196, 61
파카, 190, 66
사아, 189, 88
타타, 191, 97
가타, 159, 71
가사, 171, 98
타가, 172, 81
나사, 177, 78
다바, 153, 96
가카, 162, 96
카라, 193, 83
차차, 169, 70
바가, 157, 71
타하, 149, 92
가다, 143, 77
사하, 140, 91
아라, 187, 99
파마, 161, 86
나차, 185, 96
파카, 179, 89
아파, 151, 74
사사, 141, 76
하타, 158, 57
카마, 162, 96
타카, 144, 76
차하, 191, 52
카나, 160, 42
사다, 167, 44
마바, 157, 73
다다, 189, 69
하차, 197, 92
하가, 156, 61
타자, 146, 91
가카, 161, 70
하마, 189, 72
타자, 160, 77
다가, 176, 47
차파, 147, 59
사나, 177, 97
파차, 183, 47
나바, 152, 45
아타, 150, 44
자가, 198, 87
마하, 196, 83
가파, 175, 52
타타, 158, 97
차바, 171, 97
바카, 165, 83
차하, 191, 70
마파, 192, 40
파자, 195, 68
사다, 183, 78
다파, 193, 42
바아, 165, 83
아아, 179, 92
라라, 140, 95
라하, 154, 97
마자, 172, 79
파바, 186, 84
차아, 196, 91
가가, 154, 78
카마, 192, 42
사나, 187, 95
나다, 151, 88
나가, 171, 81
다가, 163, 63
나아, 184, 90
카다, 151, 93
자다, 184, 44
파다, 184, 77
마하, 185, 74
타나, 189, 98
파사, 175, 48
자마, 147, 96
아타, 160, 44
자나, 168, 46
다라, 143, 88
타파, 141, 92
차바, 140, 80
나자, 148, 74
하바, 162, 76
사타, 166, 93
가다, 149, 44
마다, 154, 43
사바, 151, 66
바사, 171, 70
라다, 196, 81
카하, 158, 97
사사, 185, 83
차파, 190, 88
가파, 189, 48
자나, 163, 88
마차, 167, 44
다다, 173, 75
라타, 146, 71
라라, 181, 78
가마, 154, 67
가카, 148, 97
사바, 166, 43
바아, 177, 53
타사, 173, 79
바파, 173, 95
가바, 172, 49
바아, 166, 51
자차, 179, 55
아자, 154, 69
마카, 143, 51
다가, 145, 74
마카, 163, 97
차차, 194, 65
라타, 148, 41
파다, 195, 62
라가, 164, 80
바가, 150, 55
